id,name,url,category,date_dynamic
100,aadabhyderabad,https://epaper.aadabhyderabad.in/,AP+TS,no
101,akshratimes,https://epaper.akshratimes.com/,AP+TS,no
102,andhrajyothy,https://epapp.andhrajyothy.com/,AP+TS,no
103,dishadaily,https://epaper.dishadaily.com/,AP+TS,no
104,eenadu,https://epaper.eenadu.net/,AP+TS,no
105,jyothidaily,https://epaper.jyothidaily.com/,AP+TS,no
106,kothaswaram,https://epaper.kothaswaram.com/,AP+TS,no
107,mahaadaily,https://epaper.mahaadaily.com/,AP+TS,no
108,manam,https://www.manamepaper.com/,AP+TS,no
109,manasarkar,https://epaper.manasarkar.com/,AP+TS,no
110,naadesam,https://epaper.naadesam.com/,AP+TS,no
111,navabhoomi,https://www.navabhoomi.com/,AP+TS,no
112,netishubhodaya,https://epaper.netishubhodaya.com/,AP+TS,no
113,nijamnews,https://epaper.nijamnews.in/,AP+TS,no
114,ninadam,https://epaper.ninadam.in/,AP+TS,no
115,nyayamnews,https://epaper.nyayamnews.com/,AP+TS,no
116,penpower,https://epaper.penpower.in/index.php?date={YYYY-MM-DD},AP+TS,yes
117,prabhanews,https://epaper.prabhanews.com/,AP+TS,no
118,prajagonthuka,https://epaper.prajagonthuka.in/,AP+TS,no
119,prajajyothinews,https://epaper.prajajyothinews.com/,AP+TS,no
120,prajaprashna,https://epaper.prajaprashna.com/,AP+TS,no
121,prajasakti,https://epaper.prajasakti.com/,AP+TS,no
122,sakshi,https://epaper.sakshi.com/,AP+TS,no
123,subhodayamdaily,https://www.subhodayamdaily.in/,AP+TS,no
124,surya,https://www.suryaepaper.com/,AP+TS,no
125,suryavelugu,https://www.suryavelugu.com/,AP+TS,no
126,teluguprabha,https://epaper.teluguprabha.net/,AP+TS,no
127,telugurekha,https://epaper.telugurekhamedia.com/,AP+TS,no
128,tolivelugu,https://www.tolivelugu.com/,AP+TS,no
129,vaartha,https://epaper.vaartha.com/,AP+TS,no
130,visalaandhra,https://epaper.visalaandhra.com/,AP+TS,no
131,Yuvatharam,https://epaper.yuvatharamnews.com/,AP+TS,no
