id,name,url,category,date_dynamic
200,95newspaper,https://www.95newspaper.com/,TS,no
201,adugunews,https://epaper.adugunews.com/,TS,no
202,agnidharanews,https://epaper.agnidharanews.com/,TS,no
203,aksharagalam,https://epaper.aksharagalam.com/,TS,no
204,aksharam,https://epaper.aksharamtelugudaily.com/,TS,no
205,bigtvlive,https://epaper.bigtvlive.com/,TS,no
206,churakalu,https://epaper.churakalu.com/,TS,no
207,citytimesdaily,https://epaper.citytimesdaily.com/,TS,no
208,iyyalatelangana,https://epaper.iyyalatelangana.com/,TS,no
209,janampowerdaily,https://janampowerdaily.in/,TS,no
210,janamsakshi,https://epaper.janamsakshi.org/,TS,no
211,janasamudram,https://epaper.janasamudram.com/,TS,no
212,keratamnews,https://keratamnews.in/,TS,no
213,manasakshi,https://epaper.manasakshi.in/,TS,no
214,manatelangana,https://epaper.manatelangana.news/,TS,no
215,mediatodaydaily,https://epaper.mediatodaydaily.in/,TS,no
216,metroevenings,https://epaper.metroevenings.com/,TS,no
217,nagaranijam,https://epaper.nagaranijam.com/,TS,no
218,namasthehyderabad,https://www.namasthehyderabad.com/,TS,no
219,navatelangana,https://epaper.navatelangana.com/,TS,no
220,netisakshi,https://epaper.netisakshi.com/,TS,no
221,netivartha,https://epaper.netivarthaspeednews.com/,TS,no
222,newslinetelugu,https://epaper.newslinetelugu.com/,TS,no
223,ntnews,https://epaper.ntnews.com/,TS,no
224,padmakranthi,https://www.padmakranthi.com/,TS,no
225,pcwnews,https://epaper.pcwnews.in/,TS,no
226,prabhathaudayam,https://www.prabhathaudayam.com/,TS,no
227,prajaasakshi,https://prajaasakshi.com/,TS,no
228,prajajwalanews,https://epaper.prajajwalanews.com/,TS,no
229,prajapaksham,https://epaper.prajapaksham.in/,TS,no
230,prajashankaravam,https://epaper.prajashankaravam.com/,TS,no
231,prajaspoorthi,https://www.prajaspoorthi.com/,TS,no
232,prajatantranews,https://epaper.prajatantranews.com/,TS,no
233,prajavinikidi,https://www.prajavinikidi.com/,TS,no
234,prathipaksham,https://epaper.prathipaksham.in/,TS,no
235,roamingnews,https://epaper.roamingnews.in/,TS,no
236,siridaily,https://epaper.siridaily.com/,TS,no
237,sooryasena,https://www.sooryasena.com/,TS,no
238,telanganadisha,https://www.telanganadishaepaper.com/,TS,no
239,telanganagalam,https://telanganagalam.com/,TS,no
240,telanganakanuka,https://epaper.telanganakanuka.com/,TS,no
241,telanganamuchatlu,https://epaper.telanganamuchatlu.in/,TS,no
242,telanganapatrika,https://epaper.telanganapatrika.in/,TS,no
243,tholikranthi,https://www.tholikranthidaily.com/,TS,no
244,tholisamayam,https://epaper.tholisamayam.in/,TS,no
245,thovvanews,https://epaper.thovvanews.com/,TS,no
246,v6velugu,https://epaper.v6velugu.com/,TS,no
247,vaarthalu,https://www.vaarthalu.in/,TS,no
248,vasthavam,https://www.vasthavam.com/,TS,no
249,vedhanews,https://epaper.vedhanews.in/,TS,no
250,vijayakranthi,https://epaper.vijayakranthinews.com/,TS,no
251,vishalabharati,https://epaper.vishalabharati.com/,TS,no
252,vishvambhara,https://epaper.vishvambhara.com/,TS,no
253,visionandhra,https://epaper.visionandhra.in/archive/date/{DD-Mon-YYYY},TS,yes
254,voicetoday,https://epaper.voicetodaynews.com/,TS,no
255,voodayam,https://epaper.voodayam.com/,TS,no
